"Name","Mobility","State","Population","Commute","Longitude","Latitude"
"Tupelo",0.0435734168,"MS",197774,0.341,-88.6931762695312,34.0106201171875
"Corinth",0.06576325,"MS",129508,0.372,-88.3704833984375,35.0568542480469
"New Albany",0.0546255521,"MS",54214,0.299,-88.9695587158203,34.6554679870605
"Memphis",0.0281827394,"TN",1154338,0.224,-90.0650634765625,35.0354385375977
"West Memphis",0.0320140719,"AR",138746,0.416,-90.5962371826172,34.7605514526367
"Bowling Green",0.0642673522,"KY",164944,0.375,-86.3613433837891,36.9742088317871
"Glasgow",0.0613557659,"KY",92394,0.376,-85.7584686279297,36.8960647583008
"Columbia",0.0570192672,"TN",159374,0.304,-87.1828079223633,35.5133590698242
"Nashville",0.0572634488,"TN",1246338,0.24,-86.4776077270508,36.0064163208008
"Tullahoma",0.0614474267,"TN",130610,0.37,-86.3036117553711,35.4622421264648
"Dickson",0.0715361461,"TN",138212,0.33,-87.8451919555664,36.0888633728027
"Clarksville",0.0599688478,"TN",252059,0.319,-87.5625991821289,36.6690673828125
"Huntsville",0.0566761531,"AL",519583,0.286,-86.7002639770508,34.855583190918
"Gadsden",0.071056664,"AL",304068,0.328,-86.0703277587891,34.3181457519531
"Florence",0.0710671544,"AL",230941,0.33,-87.5710220336914,35.096565246582
"McMinnville",0.0572254322,"TN",84309,0.367,-85.6722869873047,35.8743438720703
"Cookeville",0.0720288083,"TN",98362,0.38,-85.4125366210938,36.3022613525391
"Chattanooga",0.0570530631,"TN",490863,0.256,-85.337043762207,35.1550254821777
"Crossville",0.0708446875,"TN",104194,0.338,-84.981071472168,35.9107475280762
"Ellijay",0.064965196,"GA",43254,0.292,-84.3799591064453,34.6945686340332
"Cleveland",0.0668229759,"TN",203077,0.343,-84.543327331543,35.4968109130859
"Rome",0.0484621339,"GA",418304,0.301,-85.1338729858398,34.4316864013672
"Tampa",0.060128428,"FL",2395997,0.264,-82.4193954467773,28.1531715393066
"Lakeland",0.0520584956,"FL",598228,0.289,-81.4550399780273,27.7498950958252
"Sarasota",0.0683156624,"FL",763795,0.319,-82.2600936889648,27.1796760559082
"Miami",0.0729660839,"FL",3955969,0.198,-80.6895523071289,25.5369129180908
"Port St. Lucie",0.062430378,"FL",1533306,0.26,-80.8225402832031,27.1259841918945
"Cape Coral",0.0601915196,"FL",692265,0.273,-81.7269973754883,26.4002437591553
"Palm Bay",0.0658892095,"FL",589177,0.3,-80.7524337768555,28.3434429168701
"Orlando",0.0578166097,"FL",1697906,0.212,-81.4672393798828,28.5010166168213
"Deltona",0.0587789156,"FL",563598,0.303,-81.4155960083008,29.2213096618652
"Jacksonville",0.0492131598,"FL",1176696,0.229,-81.7244110107422,30.4425716400146
"Lake City",0.049539458,"FL",149695,0.339,-83.1948776245117,30.1301002502441
"Ocala",0.0564204939,"FL",377001,0.273,-82.1488647460938,29.1660633087158
"Gainesville",0.0496746562,"FL",320199,0.321,-82.6522445678711,29.6797657012939
"Sumter",0.0349367075,"SC",209914,0.33,-80.3857803344727,33.9842262268066
"Columbia",0.0372132659,"SC",722201,0.28,-80.9798583984375,33.8458404541016
"Barnwell",0.0353721455,"SC",72733,0.349,-81.2760009765625,32.9641990661621
"Charleston",0.0444692373,"SC",587297,0.269,-80.1714706420898,33.056827545166
"Greenville",0.0469857492,"SC",894291,0.308,-82.5311050415039,34.444034576416
"Aiken",0.0410487503,"GA",525842,0.275,-82.2422409057617,33.4064865112305
"Washington",0.031144781,"GA",35518,0.341,-82.8233413696289,33.6700859069824
"Fitzgerald",0.0359147042,"GA",27415,0.458,-83.2339935302734,31.6627140045166
"Cordele",0.0330490395,"GA",42098,0.43,-83.5846252441406,32.033317565918
"Valdosta",0.0318490118,"GA",241530,0.422,-83.3960266113281,31.2604084014893
"Waycross",0.0445917435,"GA",113122,0.41,-82.57080078125,31.2826557159424
"Brunswick",0.0473826714,"GA",93044,0.348,-81.708869934082,31.302375793457
"Hinesville",0.0489417985,"GA",131279,0.413,-81.7807998657227,31.7835903167725
"Statesboro",0.0388888903,"GA",111346,0.398,-81.9179534912109,32.6167068481445
"Savannah",0.0409670919,"GA",434615,0.297,-81.0676116943359,32.2408256530762
"Macon",0.0326111726,"GA",386870,0.294,-83.9226989746094,32.5219421386719
"Vidalia",0.0480652973,"GA",108438,0.391,-82.6852188110352,32.0088043212891
"Milledgeville",0.0322265625,"GA",83808,0.36,-83.0629272460938,33.156005859375
"Dublin",0.0320269689,"GA",74610,0.343,-82.7807083129883,32.7125244140625
"Atlanta",0.0453297347,"GA",3798017,0.178,-84.2125625610352,33.8539428710938
"Griffin",0.0402813293,"GA",135136,0.315,-84.2098388671875,33.1149978637695
"Winder",0.0379506648,"GA",212223,0.323,-83.3426895141602,33.9783325195312
"Toccoa",0.0416666679,"GA",89228,0.407,-83.0066680908203,34.2676086425781
"Gainesville",0.069715701,"GA",272150,0.269,-83.6861419677734,34.4037170410156
"Talladega",0.0449032262,"AL",148252,0.339,-86.1251373291016,33.1638946533203
"LaGrange",0.0523430221,"GA",457299,0.294,-85.4132308959961,33.5284309387207
"Columbus",0.0349603333,"GA",303656,0.325,-84.7794570922852,32.6434173583984
"Americus",0.0344074294,"GA",65826,0.409,-84.4287796020508,32.257884979248
"Auburn",0.0342648029,"AL",150911,0.38,-85.6117477416992,32.3696784973145
"Tallahassee",0.0470258147,"FL",426634,0.275,-84.7893295288086,30.4377670288086
"Panama City",0.0581574887,"FL",172606,0.358,-85.3004837036133,30.0905723571777
"Bainbridge",0.0393333323,"GA",43992,0.39,-84.7773666381836,31.0324802398682
"Thomasville",0.0328861959,"GA",66396,0.389,-84.0003814697266,30.9123077392578
"Albany",0.0276326872,"GA",181765,0.35,-84.1598281860352,31.53928565979
"Eufaula",0.022954924,"GA",61458,0.388,-84.9840850830078,31.6915855407715
"Dothan",0.0582822077,"AL",223605,0.361,-85.4327774047852,31.4178009033203
"Meridian",0.0467728749,"MS",157091,0.333,-88.8334197998047,32.5009651184082
"Columbus",0.0360278524,"MS",95083,0.362,-88.3316268920898,33.3776626586914
"Starkville",0.0399361029,"MS",105093,0.437,-88.9440841674805,33.4253387451172
"Jasper",0.0865883604,"AL",161169,0.32,-87.3326416015625,33.7509765625
"Birmingham",0.0504318327,"AL",1038182,0.22,-86.7145309448242,33.4854469299316
"Tuscaloosa",0.0403225794,"AL",261112,0.343,-87.3525161743164,32.8385696411133
"Demopolis",0.042383045,"AL",63233,0.337,-87.9114608764648,32.5304336547852
"Pensacola",0.0612063408,"FL",623252,0.309,-86.7144317626953,30.5462055206299
"Mobile",0.0513980016,"AL",599405,0.267,-87.666259765625,31.4869632720947
"Atmore",0.0477876104,"AL",76853,0.39,-87.3446884155273,31.4372310638428
"Montgomery",0.0330373719,"AL",367927,0.278,-86.4008636474609,32.2923164367676
"Troy",0.0679886714,"AL",80901,0.409,-86.189453125,31.7107219696045
"Bluefield",0.1107491851,"VA",199334,0.32,-81.580436706543,37.1378021240234
"Welch",0.1599147171,"WV",53037,0.263,-81.6393432617188,37.4899940490723
"Big Stone Gap",0.1036082506,"VA",84011,0.317,-82.72314453125,36.9120674133301
"Fredericksburg",0.0945812836,"VA",241044,0.205,-77.4250640869141,38.0942306518555
"Baltimore",0.064007394,"MD",2512431,0.199,-76.7990646362305,39.2704734802246
"Colonial Beach",0.0654515326,"VA",59342,0.31,-76.796630859375,37.9297065734863
"Washington DC",0.1098117381,"DC",4632415,0.16,-77.4324722290039,38.9264755249023
"Marquette",0.0965651348,"MI",121919,0.501,-86.9097442626953,46.1725540161133
"Marinette",0.1027253643,"MI",114408,0.525,-88.1482696533203,45.6683578491211
"Sault Ste. Marie",0.0991831943,"MI",57510,0.539,-84.5001525878906,46.1847114562988
"Jackson",0.0630887821,"MI",303839,0.356,-84.3774566650391,41.9445495605469
"Detroit",0.0545927621,"MI",5327827,0.243,-83.2955093383789,42.7676162719727
"Lansing",0.0641167387,"MI",447728,0.356,-84.648681640625,42.6758804321289
"Mount Pleasant",0.0646153837,"MI",136888,0.467,-84.7600479125977,43.562671661377
"Saginaw",0.0644080862,"MI",540707,0.376,-83.6669769287109,43.6854476928711
"Big Rapids",0.0743079185,"MI",120045,0.407,-85.3946990966797,44.0386199951172
"Ludington",0.0760736167,"MI",52801,0.493,-86.1842346191406,44.122974395752
"Kalamazoo",0.0526231341,"MI",509606,0.36,-85.5140533447266,42.3128662109375
"Grand Rapids",0.063729167,"MI",1286045,0.344,-85.7264099121094,43.1889839172363
"Traverse City",0.0742486715,"MI",154452,0.356,-85.5310363769531,44.8549652099609
"Petoskey",0.0765550211,"MI",83975,0.428,-84.7933502197266,45.3941383361816
"Alpena",0.078644067,"MI",84783,0.472,-83.6990737915039,45.0324363708496
"Grayling charter",0.0748898685,"MI",104421,0.457,-84.4363555908203,44.6857032775879
"Dayton",0.0488145053,"OH",1179009,0.341,-84.1028137207031,40.0221176147461
"Washington Court House",0.0533333346,"OH",109851,0.345,-83.5627670288086,39.2948684692383
"Wayne",0.0539811067,"IN",104034,0.464,-85.0427474975586,39.7046165466309
"Cincinnati",0.0512119494,"OH",1954800,0.258,-84.2685470581055,38.8519401550293
"Maysville",0.0528455302,"KY",52963,0.322,-83.6712799072266,38.4998893737793
"Washington",0.1065877154,"IN",134026,0.314,-85.0641784667969,39.0648803710938
"Lexington-Fayette",0.0537449978,"KY",525970,0.345,-84.5081634521484,38.1320838928223
"Mount Sterling",0.0622914359,"KY",40195,0.323,-83.6634368896484,38.0783996582031
"Danville",0.0727496892,"KY",86667,0.353,-84.7249908447266,37.7040634155273
"Elizabethtown",0.081598945,"KY",176597,0.338,-86.0881271362305,37.7544479370117
"Louisville",0.051995486,"KY",1100767,0.261,-85.6781463623047,38.2993583679199
"Madison",0.0938271582,"IN",49985,0.411,-85.3903198242188,38.6902122497559
"Bardstown",0.0762167126,"KY",66605,0.373,-85.40478515625,37.6990623474121
"Owensboro",0.0923025683,"KY",177640,0.387,-86.9816970825195,37.5197410583496
"Findlay",0.0736145601,"OH",246623,0.457,-83.3274612426758,40.9678688049316
"Lima",0.0694817677,"OH",260393,0.445,-84.2717895507812,40.7105560302734
"Toledo",0.0574808046,"OH",834343,0.345,-83.6778793334961,41.5681457519531
"Defiance",0.0814732164,"OH",98981,0.437,-84.5065536499023,41.3234443664551
"South Bend",0.0601345673,"IN",657906,0.385,-86.3163223266602,41.6564559936523
"Concord",0.0734009892,"IN",372184,0.405,-85.4939270019531,41.6202926635742
"Wayne",0.0915141404,"IN",129528,0.439,-85.9183959960938,41.0524978637695
"Center",0.0661350861,"IN",192308,0.451,-86.2592697143555,40.6478614807129
"Muncie",0.0531732403,"IN",415487,0.417,-85.4548721313477,40.2140159606934
"Fort Wayne",0.0659465641,"IN",557161,0.352,-85.1665344238281,41.0252723693848
"Indianapolis",0.0490063243,"IN",1507346,0.262,-86.122688293457,39.611385345459
"Columbus",0.0746864304,"IN",163284,0.404,-85.8469085693359,38.8266105651855
"Terre Haute",0.082625255,"IN",261832,0.391,-87.3151550292969,39.5072402954102
"Lafayette",0.0908335671,"IN",347966,0.429,-87.0883178710938,40.3285369873047
"Bloomington",0.0871858522,"IN",280923,0.397,-86.9038391113281,38.8078384399414
"Evansville",0.0792389214,"IN",388604,0.366,-87.454719543457,38.1533546447754
"Olney",0.1169398874,"IL",55642,0.486,-88.0994873046875,38.2621994018555
"Vincennes",0.1098398194,"IN",54708,0.488,-87.4358901977539,38.6371536254883
"Gary",0.081390135,"IN",675971,0.277,-87.2666168212891,41.2179756164551
"Canton",0.0649108514,"OH",700866,0.378,-81.465934753418,40.519172668457
"Lorain",0.0566001162,"OH",423702,0.362,-82.3657455444336,41.2349052429199
"Cleveland",0.050859265,"OH",2661167,0.268,-81.4847259521484,41.2727546691895
"Parkersburg",0.0708944052,"WV",202967,0.346,-81.4451217651367,39.1996803283691
"Zanesville",0.0684076101,"OH",188410,0.346,-81.7836303710938,39.7343330383301
"Steubenville",0.0727181509,"OH",132008,0.378,-80.7016906738281,40.4033126831055
"Wheeling",0.1254040152,"WV",195637,0.343,-80.8091583251953,39.6376495361328
"Scioto",0.0648590028,"OH",225682,0.322,-82.9105377197266,39.01025390625
"Athens",0.0747126415,"OH",142321,0.359,-82.0629959106445,38.9975662231445
"Columbus",0.049094066,"OH",1663807,0.271,-82.7316818237305,39.9555130004883
"Mansfield",0.0644607842,"OH",326186,0.403,-82.7405624389648,40.6658096313477
"State College",0.1131276488,"PA",310658,0.397,-78.1835327148438,40.8506507873535
"Altoona",0.1023769081,"PA",411749,0.391,-78.6428298950195,40.2173004150391
"Pittsburgh",0.09514869,"PA",2561364,0.287,-79.5761260986328,40.5679092407227
"Youngstown",0.0669745952,"OH",809682,0.374,-80.6030731201172,41.016960144043
"Erie",0.0751668066,"PA",659098,0.427,-79.5036315917969,41.3742065429688
"Roanoke",0.0640164241,"VA",468038,0.334,-80.1677627563477,37.3139152526855
"Elkins",0.1057993695,"WV",60271,0.388,-79.7854919433594,38.7990913391113
"Morgantown",0.1049584672,"WV",259942,0.336,-80.3536605834961,39.3572540283203
"Buckhannon",0.1264108419,"WV",40323,0.377,-80.3829650878906,38.926456451416
"Beckley",0.1064450294,"WV",174251,0.33,-80.8328170776367,37.9249839782715
"Summersville",0.1285289675,"WV",58143,0.329,-80.7836837768555,38.5716857910156
"Charleston",0.0972293913,"WV",347345,0.28,-81.7158126831055,38.1433944702148
"Spencer",0.1465677172,"WV",23028,0.268,-81.213020324707,38.7986145019531
"Pikeville",0.1378403753,"KY",204354,0.295,-82.6051483154297,37.7573471069336
"Huntington",0.0685057491,"KY",344380,0.343,-82.8904647827148,38.2893447875977
"Harrisonburg",0.0938897133,"VA",174641,0.378,-78.7827987670898,38.7607040405273
"Staunton",0.0680161938,"VA",188559,0.344,-79.5354461669922,37.8701171875
"Hagerstown",0.0870945826,"PA",408535,0.298,-77.9620590209961,39.7436256408691
"Cumberland",0.0969055369,"MD",155822,0.373,-78.8268737792969,39.2735443115234
"Winchester",0.0972972959,"VA",115649,0.301,-78.4002304077148,39.2103652954102
"Charlottesville",0.0613825992,"VA",273489,0.282,-78.2333831787109,38.0418243408203
"Syracuse",0.076672107,"NY",1080612,0.378,-75.6718292236328,43.084644317627
"Oneonta",0.0928838924,"NY",161132,0.405,-75.0704956054688,42.4394607543945
"Union",0.088044025,"NY",294558,0.363,-76.0699844360352,42.1343231201172
"Buffalo",0.066782549,"NY",2369699,0.333,-77.7660903930664,42.7380714416504
"Elmira",0.0936922133,"NY",346894,0.411,-76.8524780273438,42.3245124816895
"Olean",0.0801330507,"NY",197898,0.455,-78.447868347168,42.1064071655273
"St. Marys",0.1629834324,"PA",41086,0.53,-78.6627578735352,41.3966979980469
"Watertown",0.1011804417,"NY",250613,0.471,-75.5392837524414,44.1033897399902
"Plattsburgh",0.0854566842,"NY",169879,0.47,-73.7126007080078,44.331298828125
"Amsterdam",0.082840234,"NY",110160,0.416,-74.4513702392578,43.2861976623535
"Albany",0.0833333358,"NY",1061509,0.317,-73.8589172363281,42.8572311401367
"Sunbury",0.1113667712,"PA",191962,0.396,-76.8812713623047,40.8595542907715
"Scranton",0.1074531749,"PA",857487,0.351,-75.5423889160156,41.2837600708008
"Williamsport",0.1016209498,"PA",227275,0.414,-77.2385025024414,41.2774848937988
"Allentown",0.0826314986,"PA",637958,0.329,-75.4598083496094,40.8401222229004
"Reading",0.0963095427,"PA",1114959,0.344,-76.2531967163086,40.153995513916
"Harrisburg",0.0792682916,"PA",1051424,0.314,-77.1747894287109,40.3097534179688
"Poughkeepsie",0.0948357806,"NY",873232,0.301,-74.4587554931641,41.7227630615234
"New York",0.1050008386,"NY",11781395,0.156,-73.4934310913086,40.8868293762207
"Toms River",0.1222978607,"NJ",1126217,0.263,-74.3227462768555,40.027587890625
"Newark",0.1024259701,"NJ",5822286,0.234,-74.6487045288086,40.7106246948242
"Philadelphia",0.0740116686,"PA",5602247,0.246,-75.3061828613281,39.8666076660156
"Wilmington",0.0657239258,"DE",586216,0.251,-75.7440795898438,39.5715065002441
"Dover",0.0625960082,"DE",439269,0.358,-75.5329818725586,38.5384826660156
"Easton",0.0626359284,"MD",154018,0.32,-76.0423736572266,38.7869148254395
"Chincoteague",0.0445141047,"VA",51398,0.393,-75.6961898803711,37.6719169616699
"Bangor",0.0809096843,"ME",289843,0.403,-69.0667114257812,44.9682998657227
"Calais",0.0680272132,"ME",33941,0.493,-67.6050033569336,44.9989395141602
"Presque Isle",0.0855855867,"ME",73938,0.512,-68.5269775390625,46.3964767456055
"Portland",0.0805980191,"ME",690459,0.363,-69.9392471313477,44.7340354919434
"Burlington",0.0931878537,"VT",321496,0.366,-73.0345230102539,44.0672149658203
"Berlin",0.083530806,"VT",95549,0.433,-71.7748870849609,44.4993209838867
"Claremont",0.078877002,"VT",265884,0.383,-72.2651672363281,43.8187103271484
"Providence",0.0820953399,"RI",1582997,0.328,-71.3598098754883,41.6681175231934
"Nantucket",0.0810810775,"MA",9520,0.818,-70.063362121582,41.3039436340332
"Oak Bluffs",0.0676691756,"MA",14987,0.576,-70.6558151245117,41.390796661377
"Boston",0.1048499793,"MA",4974945,0.251,-71.188606262207,42.212329864502
"Manchester",0.1001517475,"NH",1193391,0.301,-71.297737121582,43.4739837646484
"Keene",0.0901116431,"NH",118041,0.407,-72.474739074707,43.0325889587402
"Springfield",0.0680504739,"MA",680014,0.342,-72.6502075195312,42.3591499328613
"Bridgeport",0.0786178932,"CT",3405565,0.308,-72.6092910766602,41.6280708312988
"Pittsfield",0.0865191147,"MA",171947,0.479,-73.0525436401367,42.6944618225098
"Ashland",0.0910326093,"WI",47701,0.533,-90.6493072509766,46.1779747009277
"Houghton",0.1022727266,"MI",47063,0.55,-88.5094833374023,47.1474723815918
"Ironwood",0.1213872805,"MI",32049,0.554,-89.6147308349609,46.4919624328613
"Rhinelander",0.1062801927,"WI",67833,0.509,-89.0856475830078,45.8335456848145
"Rice Lake",0.1015262082,"WI",92542,0.499,-91.4096221923828,45.6672897338867
"Amery",0.1285500675,"WI",56993,0.356,-92.5343780517578,45.7065849304199
"Hutchinson",0.1770657599,"MN",72898,0.464,-94.2248153686523,44.8072204589844
"Redwood Falls",0.1971831024,"MN",33969,0.571,-95.0502319335938,44.5783004760742
"Mankato",0.1263440847,"MN",149925,0.563,-94.4642868041992,44.210090637207
"Owatonna",0.137931034,"MN",109871,0.544,-93.3868789672852,44.1446380615234
"St. Cloud",0.1268896013,"MN",254139,0.398,-94.0343246459961,45.5808372497559
"Minneapolis",0.0852011293,"MN",2904389,0.264,-93.2317886352539,45.0522193908691
"Pine City",0.1096979305,"MN",41526,0.342,-92.7871551513672,45.988410949707
"Brainerd",0.0842745453,"MN",141542,0.42,-94.1722030639648,46.6966896057129
"Rochester",0.1421598494,"MN",228867,0.469,-92.4435501098633,44.2314186096191
"Austin",0.1177325547,"MN",71187,0.555,-93.0618896484375,43.6721839904785
"Mason City",0.1265984625,"IA",78179,0.58,-93.4568328857422,43.2174186706543
"Decorah",0.1657142788,"IA",72111,0.542,-92.3541717529297,43.2467956542969
"Marshalltown",0.1126346737,"IA",113442,0.535,-92.8246612548828,41.8321647644043
"Waterloo",0.1224658638,"IA",222112,0.492,-92.3131866455078,42.5283737182617
"Iowa Falls",0.1357615888,"IA",29516,0.561,-93.2544174194336,42.5082550048828
"Iowa City",0.0931849778,"IA",203768,0.432,-91.2396545410156,41.4012718200684
"Cedar Rapids",0.1173184365,"IA",252901,0.42,-91.6312637329102,41.9913520812988
"Ottumwa",0.1244979948,"IA",142385,0.493,-92.4260864257812,41.0566139221191
"Sheboygan",0.1380908191,"WI",195533,0.512,-87.8510437011719,43.9855575561523
"Oshkosh",0.1148549691,"WI",549651,0.445,-88.8022613525391,44.002685546875
"Green Bay",0.0910990387,"WI",310560,0.427,-87.7272033691406,44.8735694885254
"Shawano",0.0839002281,"WI",65966,0.447,-88.799934387207,45.0303230285645
"Wausau",0.1244852692,"WI",370092,0.46,-90.0060272216797,44.5141868591309
"Eau Claire",0.1130195782,"WI",305307,0.463,-91.5252075195312,44.4200897216797
"La Crosse",0.1181933284,"WI",220109,0.45,-90.6592102050781,43.8980979919434
"Monroe",0.1671388149,"WI",116624,0.461,-90.5752639770508,42.8756561279297
"Madison",0.0921911746,"WI",590755,0.365,-89.6100234985352,43.4425773620605
"Dubuque",0.1594827622,"IA",163189,0.524,-90.9662704467773,42.7233352661133
"Charleston",0.0958677679,"IL",101161,0.481,-87.8572311401367,39.4560966491699
"Douglas",0.1015452519,"IL",101195,0.485,-88.233268737793,38.9690818786621
"Bloomington",0.0845864639,"IL",206909,0.496,-88.8387069702148,40.5317306518555
"Decatur",0.0677927956,"IL",382083,0.451,-88.5191116333008,39.9406585693359
"Burlington",0.1022797301,"IA",136489,0.502,-91.4277954101562,40.6801147460938
"Galesburg",0.0885935798,"IL",145734,0.509,-90.2203521728516,40.5695343017578
"Davenport",0.0809443519,"IL",382351,0.393,-90.5065460205078,41.4243698120117
"Clinton",0.1138790026,"IA",70445,0.479,-90.4713363647461,42.0050468444824
"Peoria",0.0717817843,"IL",529703,0.394,-89.7173233032227,40.542537689209
"Kenosha",0.0691956431,"WI",584474,0.384,-88.4470291137695,42.671745300293
"Milwaukee",0.0445706695,"WI",1660659,0.312,-88.3217849731445,43.2040901184082
"Bourbonnais",0.0730964467,"IL",135167,0.41,-87.9118118286133,40.9501686096191
